"ano.inicio","edad","estado.civil","raza","nivel.educacion","tipo.trabajo","salud","seguro.medico","log.salario","salario"
2003,27,"casado","blanca","No tiene bachillerato","Industrial","muy buena","no",419312459835446,662294082943902
2004,28,"casado","asiatica","Graduado Universitario","Industrial","muy buena","no",354406804435028,346074177301288
2007,27,"soltero","blanca","Graduado Universitario","Servicios","muy buena","si",469897000433602,109833985642199
2004,43,"soltero","blanca","No tiene bachillerato","Industrial","buena","no",381291335664286,45282169994022
2005,50,"soltero","otra","No tiene bachillerato","Industrial","buena","si",430102999566398,737757432746946
2004,39,"casado","negra","Bachillerato","Servicios","muy buena","no",439794000867204,812832532842527
2008,52,"casado","blanca","Master Universitario","Industrial","muy buena","si",504139268515823,15468529299563
2009,35,"casado","blanca","Graduado Universitario","Industrial","muy buena","si",559061783348625,267901086855275
2007,57,"casado","blanca","Master Universitario","Servicios","muy buena","si",517609125905568,176989650489877
2006,25,"soltero","blanca","No tiene bachillerato","Industrial","muy buena","no",419312459835446,662294082943902
2006,33,"soltero","blanca","Bachillerato","Servicios","buena","si",475587485567249,116265324062503
2005,57,"casado","blanca","Master Universitario","Servicios","muy buena","no",530102999566398,200543262324662
2008,71,"casado","blanca","Algun Curso Universidad","Industrial","muy buena","si",46232492903979,10182435207568
2004,43,"casado","blanca","Graduado Universitario","Industrial","muy buena","si",560688524128857,272294783220064
2003,23,"soltero","blanca","Algun Curso Universidad","Industrial","muy buena","no",355630250076729,350334213214995
2009,30,"soltero","blanca","Master Universitario","Servicios","muy buena","si",474036268949424,114475713290347
2004,22,"soltero","negra","Bachillerato","Servicios","muy buena","si",439794000867204,812832532842527
2006,59,"casado","blanca","Master Universitario","Servicios","buena","si",530102999566398,200543262324662
2003,28,"soltero","asiatica","Graduado Universitario","Servicios","muy buena","si",5,148413159102577
2004,61,"casado","blanca","Bachillerato","Industrial","muy buena","si",460205999132796,996894636984864
2003,34,"casado","blanca","Bachillerato","Servicios","muy buena","si",47160033436348,111720849360989
2005,43,"casado","blanca","Graduado Universitario","Industrial","muy buena","si",502938377768521,152838800991182
2006,54,"casado","blanca","Algun Curso Universidad","Industrial","muy buena","no",476342799356294,117146816914805
2005,69,"casado","blanca","Bachillerato","Industrial","buena","si",43533390953113,777376033039781
2004,41,"casado","blanca","Algun Curso Universidad","Industrial","buena","si",447712125471966,879810327856054
2003,48,"casado","blanca","Master Universitario","Servicios","muy buena","si",483250891270624,125525498433836
2003,49,"casado","blanca","Algun Curso Universidad","Servicios","muy buena","si",481491318127507,123336103962059
2009,42,"casado","blanca","Bachillerato","Industrial","muy buena","si",506445798922692,158294621427791
2003,37,"casado","blanca","Graduado Universitario","Servicios","muy buena","si",530102999566398,200543262324662
2004,55,"casado","asiatica","Bachillerato","Industrial","muy buena","si",460205999132796,996894636984864
2008,21,"soltero","negra","Bachillerato","Industrial","muy buena","no",425527250510331,704760196469445
2004,58,"casado","blanca","Bachillerato","Servicios","muy buena","si",454406804435028,940727147457005
2006,31,"soltero","blanca","Bachillerato","Industrial","muy buena","no",439794000867204,812832532842527
2006,25,"soltero","blanca","Bachillerato","Industrial","muy buena","si",439794000867204,812832532842527
2006,32,"soltero","blanca","Algun Curso Universidad","Servicios","muy buena","si",461278385671974,100764272842107
2009,40,"soltero","negra","No tiene bachillerato","Servicios","muy buena","si",454406804435028,940727147457005
2003,44,"casado","blanca","Master Universitario","Servicios","muy buena","no",460205999132796,996894636984864
2003,60,"casado","blanca","Graduado Universitario","Industrial","muy buena","si",559198011410292,268266292012557
2006,23,"soltero","blanca","No tiene bachillerato","Industrial","buena","si",439794000867204,812832532842527
2003,63,"casado","blanca","Bachillerato","Servicios","muy buena","no",473239375982297,113567089569751
2008,44,"soltero","blanca","No tiene bachillerato","Industrial","buena","no",447712125471966,879810327856054
2005,47,"casado","asiatica","Master Universitario","Servicios","buena","si",485733249643127,128680488220624
2004,61,"casado","blanca","Algun Curso Universidad","Industrial","muy buena","si",467024585307412,106723977625299
2009,55,"casado","blanca","Master Universitario","Servicios","muy buena","no",419033169817029,660446942318056
2003,24,"soltero","blanca","No tiene bachillerato","Industrial","buena","no",394200805302231,51521956314716
2007,42,"viudo","blanca","Bachillerato","Industrial","muy buena","si",444715803134222,853839403789827
2006,25,"casado","blanca","Bachillerato","Servicios","muy buena","si",434242268082221,768936025176112
2004,34,"divorciado","blanca","Bachillerato","Industrial","muy buena","no",450514997831991,904819133566401
2009,53,"casado","blanca","No tiene bachillerato","Servicios","muy buena","no",422063101944809,680764282889521
2009,53,"casado","blanca","Graduado Universitario","Servicios","muy buena","si",48750612633917,130982177377461
2009,70,"casado","asiatica","Master Universitario","Servicios","buena","no",485125834871908,127901232979118
2004,47,"casado","blanca","Graduado Universitario","Servicios","muy buena","si",487691031134463,131224593755096
2003,46,"casado","blanca","Bachillerato","Industrial","muy buena","si",460205999132796,996894636984864
2003,33,"divorciado","blanca","No tiene bachillerato","Industrial","buena","si",434242268082221,768936025176112
2005,34,"casado","blanca","Master Universitario","Servicios","muy buena","si",468124123737559,107903923866876
2006,22,"soltero","blanca","Bachillerato","Industrial","buena","no",439794000867204,812832532842527
2009,74,"casado","blanca","Bachillerato","Industrial","muy buena","si",460205999132796,996894636984864
2003,40,"casado","negra","Algun Curso Universidad","Servicios","buena","si",45910646070265,985993438603892
2006,45,"casado","blanca","Graduado Universitario","Servicios","muy buena","si",530102999566398,200543262324662
2009,43,"casado","asiatica","Graduado Universitario","Servicios","muy buena","si",505307844348342,156503510882633
2005,33,"casado","asiatica","Graduado Universitario","Servicios","muy buena","si",497634997900327,144944364980516
2009,62,"casado","negra","Graduado Universitario","Servicios","muy buena","si",477815125038364,118884359339886
2008,37,"casado","blanca","Graduado Universitario","Servicios","muy buena","si",479934054945358,121430313822622
2004,54,"casado","blanca","Bachillerato","Servicios","buena","si",47160033436348,111720849360989
2005,34,"casado","blanca","Algun Curso Universidad","Industrial","muy buena","no",423044892137827,687480877337669
2008,50,"soltero","blanca","Graduado Universitario","Servicios","muy buena","si",474036268949424,114475713290347
2006,46,"divorciado","blanca","Algun Curso Universidad","Industrial","buena","si",455630250076729,952307125669819
2007,41,"casado","blanca","No tiene bachillerato","Industrial","muy buena","no",447712125471966,879810327856054
2003,63,"divorciado","negra","Algun Curso Universidad","Industrial","buena","si",416316137497702,642743972206327
2007,38,"casado","blanca","Algun Curso Universidad","Industrial","buena","si",485733249643127,128680488220624
2006,35,"casado","blanca","Algun Curso Universidad","Industrial","muy buena","si",474036268949424,114475713290347
2009,29,"casado","blanca","Graduado Universitario","Servicios","buena","si",472427586960079,1126488963421
2008,66,"casado","blanca","No tiene bachillerato","Industrial","muy buena","si",439794000867204,812832532842527
2004,37,"casado","blanca","Bachillerato","Servicios","buena","si",432935719413155,758954848228103
2006,39,"casado","negra","Bachillerato","Servicios","muy buena","si",4719720651334,112136922992214
2003,42,"casado","blanca","Bachillerato","Industrial","muy buena","no",444715803134222,853839403789827
2007,51,"divorciado","blanca","Bachillerato","Industrial","muy buena","si",454406804435028,940727147457005
2009,55,"casado","asiatica","Master Universitario","Industrial","buena","si",474036268949424,114475713290347
2006,51,"casado","blanca","Master Universitario","Industrial","muy buena","si",517609125905568,176989650489877
2008,38,"casado","blanca","Master Universitario","Industrial","buena","si",562321723414596,276778413321176
2005,49,"casado","blanca","Bachillerato","Servicios","muy buena","si",46232492903979,10182435207568
2006,42,"casado","blanca","Bachillerato","Servicios","muy buena","no",451851393987789,916992261117042
2009,43,"separado","blanca","No tiene bachillerato","Servicios","buena","no",446239799789896,866951548289402
2006,38,"casado","blanca","Graduado Universitario","Servicios","muy buena","si",509342168516223,162946460744664
2008,59,"casado","asiatica","Bachillerato","Industrial","muy buena","si",493601079571521,139213788138664
2009,57,"casado","blanca","Algun Curso Universidad","Industrial","buena","si",455630250076729,952307125669819
2005,25,"soltero","blanca","Bachillerato","Industrial","buena","no",420411998265593,669616443217359
2004,49,"casado","blanca","Graduado Universitario","Industrial","buena","si",48766796104192,131194323611687
2004,41,"casado","blanca","No tiene bachillerato","Industrial","muy buena","si",450514997831991,904819133566401
2009,38,"casado","blanca","Bachillerato","Industrial","muy buena","si",474036268949424,114475713290347
2003,61,"casado","blanca","Master Universitario","Industrial","muy buena","si",437106786227174,791280844956297
2007,49,"divorciado","blanca","Bachillerato","Industrial","buena","si",465006456117768,104591737924918
2008,52,"divorciado","blanca","Master Universitario","Servicios","muy buena","si",488649072517248,132487821126123
2007,43,"casado","blanca","Master Universitario","Servicios","muy buena","si",495424250943933,14177517233318
2008,60,"casado","blanca","Graduado Universitario","Servicios","muy buena","si",481291335664286,123089699847943
2005,46,"casado","asiatica","Master Universitario","Servicios","muy buena","si",490308998699194,134705375118879
2004,21,"soltero","blanca","Bachillerato","Servicios","muy buena","no",402118929906994,557673905084923
2009,61,"casado","blanca","Graduado Universitario","Industrial","muy buena","si",467209785793572,106921814091211
2007,32,"casado","negra","Master Universitario","Servicios","muy buena","si",477815125038364,118884359339886
2004,58,"casado","blanca","Bachillerato","Servicios","buena","si",447712125471966,879810327856054
2003,35,"soltero","blanca","Bachillerato","Servicios","muy buena","si",448784512011144,889296066367913
2004,26,"soltero","negra","Bachillerato","Servicios","muy buena","si",439794000867204,812832532842527
2006,32,"soltero","negra","Bachillerato","Industrial","muy buena","no",454406804435028,940727147457005
2003,37,"casado","blanca","Bachillerato","Servicios","muy buena","si",467209785793572,106921814091211
2007,22,"soltero","asiatica","Bachillerato","Industrial","buena","no",407918124604763,590970640815891
2005,51,"soltero","blanca","Bachillerato","Industrial","buena","no",417609125905568,651108537153447
2004,44,"divorciado","blanca","Master Universitario","Servicios","buena","si",479239168949825,120589436530402
2005,35,"casado","asiatica","Master Universitario","Industrial","muy buena","si",506069784035361,157700527725737
2004,60,"casado","blanca","Bachillerato","Servicios","muy buena","si",486332286012046,129453644576625
2007,40,"casado","blanca","Graduado Universitario","Servicios","muy buena","si",517609125905568,176989650489877
2004,35,"soltero","blanca","No tiene bachillerato","Servicios","muy buena","no",407918124604763,590970640815891
2007,35,"casado","blanca","Master Universitario","Servicios","muy buena","no",454406804435028,940727147457005
2008,47,"casado","blanca","Bachillerato","Industrial","muy buena","si",490308998699194,134705375118879
2003,43,"soltero","blanca","Graduado Universitario","Servicios","muy buena","si",439794000867204,812832532842527
2003,33,"casado","blanca","No tiene bachillerato","Industrial","buena","si",439794000867204,812832532842527
2003,60,"divorciado","blanca","Master Universitario","Industrial","muy buena","si",503342375548695,153457515308961
2008,38,"casado","asiatica","Master Universitario","Industrial","muy buena","si",491907809237607,136876367635184
2005,53,"casado","blanca","Bachillerato","Servicios","muy buena","no",431806333496276,750431540173515
2004,55,"casado","blanca","Algun Curso Universidad","Servicios","muy buena","si",486923171973098,130220832358777
2003,57,"casado","negra","Bachillerato","Servicios","buena","no",465321251377534,104921506533664
2005,64,"casado","blanca","Graduado Universitario","Servicios","buena","no",390308998699194,495553381215226
2007,43,"casado","blanca","Bachillerato","Industrial","buena","si",481954393554187,123908567597957
2008,35,"casado","negra","Algun Curso Universidad","Servicios","muy buena","si",481291335664286,123089699847943
2008,54,"casado","blanca","Bachillerato","Servicios","muy buena","no",435869609957381,78155161407934
2007,45,"casado","blanca","Bachillerato","Servicios","buena","si",430102999566398,737757432746946
2003,58,"divorciado","asiatica","Graduado Universitario","Servicios","muy buena","si",492941892571429,138299126920883
2007,48,"casado","blanca","Graduado Universitario","Servicios","buena","no",484509804001426,127115743812184
2003,46,"casado","asiatica","No tiene bachillerato","Industrial","muy buena","si",423044892137827,687480877337669
2004,46,"casado","blanca","Bachillerato","Industrial","muy buena","si",443546212055982,8439111474778
2009,55,"casado","blanca","No tiene bachillerato","Industrial","muy buena","si",444715803134222,853839403789827
2006,51,"casado","blanca","Algun Curso Universidad","Industrial","muy buena","si",485733249643127,128680488220624
2005,49,"casado","blanca","Algun Curso Universidad","Industrial","muy buena","si",425527250510331,704760196469445
2008,34,"soltero","blanca","Algun Curso Universidad","Industrial","muy buena","si",434242268082221,768936025176112
2007,53,"casado","blanca","Algun Curso Universidad","Industrial","muy buena","no",5,148413159102577
2004,40,"casado","blanca","Algun Curso Universidad","Industrial","muy buena","si",5,148413159102577
2009,50,"casado","blanca","Algun Curso Universidad","Industrial","muy buena","si",517026171539496,175960883130401
2006,37,"divorciado","blanca","No tiene bachillerato","Servicios","buena","si",45910646070265,985993438603892
2003,39,"casado","blanca","Algun Curso Universidad","Industrial","muy buena","si",497772360528885,145143601176911
2004,52,"casado","blanca","Graduado Universitario","Industrial","buena","si",460205999132796,996894636984864
2003,50,"casado","blanca","Bachillerato","Servicios","muy buena","si",494939000664491,14108887439127
2006,48,"casado","blanca","Graduado Universitario","Industrial","muy buena","si",481291335664286,123089699847943
2006,47,"casado","blanca","Bachillerato","Industrial","muy buena","si",486332286012046,129453644576625
2005,27,"casado","blanca","Graduado Universitario","Industrial","muy buena","si",47160033436348,111720849360989
2006,39,"casado","blanca","Bachillerato","Industrial","muy buena","si",464345267648619,10390247060316
2009,44,"casado","negra","Bachillerato","Servicios","buena","si",477815125038364,118884359339886
2003,37,"casado","negra","Algun Curso Universidad","Industrial","muy buena","si",502118929906994,151591484239814
2006,52,"casado","blanca","Bachillerato","Industrial","buena","no",46232492903979,10182435207568
2004,26,"soltero","asiatica","Algun Curso Universidad","Industrial","muy buena","si",460205999132796,996894636984864
2008,39,"casado","asiatica","Master Universitario","Industrial","buena","si",460205999132796,996894636984864
2006,25,"casado","negra","Bachillerato","Industrial","buena","no",460205999132796,996894636984864
2005,31,"soltero","blanca","Graduado Universitario","Servicios","muy buena","no",454406804435028,940727147457005
2004,58,"casado","blanca","Algun Curso Universidad","Industrial","buena","si",502530586526477,152216806827106
2005,30,"casado","blanca","Graduado Universitario","Servicios","muy buena","si",465321251377534,104921506533664
2004,27,"casado","blanca","No tiene bachillerato","Industrial","buena","si",417609125905568,651108537153447
2003,40,"divorciado","blanca","Bachillerato","Industrial","muy buena","si",455630250076729,952307125669819
2006,55,"casado","blanca","Master Universitario","Industrial","muy buena","si",515836249209525,173879493310012
2009,35,"casado","asiatica","Master Universitario","Servicios","muy buena","si",526481782300954,193411070530969
2008,48,"casado","blanca","Bachillerato","Industrial","buena","no",474036268949424,114475713290347
2006,29,"soltero","asiatica","Graduado Universitario","Industrial","buena","si",507918124604763,160642475408263
2005,25,"soltero","blanca","Algun Curso Universidad","Industrial","muy buena","si",449415459401844,894924795180001
2004,40,"casado","blanca","Algun Curso Universidad","Industrial","muy buena","si",479239168949825,120589436530402
2006,27,"casado","blanca","No tiene bachillerato","Servicios","buena","no",430102999566398,737757432746946
2006,44,"casado","blanca","Bachillerato","Servicios","muy buena","si",484509804001426,127115743812184
2006,49,"casado","blanca","Algun Curso Universidad","Servicios","muy buena","si",477815125038364,118884359339886
2003,22,"soltero","blanca","Algun Curso Universidad","Industrial","buena","no",354406804435028,346074177301288
2007,45,"casado","blanca","Algun Curso Universidad","Industrial","buena","si",474036268949424,114475713290347
2007,33,"casado","blanca","Algun Curso Universidad","Industrial","muy buena","no",444715803134222,853839403789827
2007,63,"casado","negra","Master Universitario","Servicios","muy buena","si",576312762749814,318342430056529
2006,49,"soltero","negra","Graduado Universitario","Industrial","muy buena","si",495424250943933,14177517233318
2005,39,"soltero","blanca","Master Universitario","Servicios","muy buena","si",48750612633917,130982177377461
2007,25,"soltero","otra","No tiene bachillerato","Industrial","buena","no",430102999566398,737757432746946
2005,29,"soltero","blanca","Master Universitario","Servicios","muy buena","si",48750612633917,130982177377461
2006,37,"casado","blanca","Bachillerato","Industrial","muy buena","si",431806333496276,750431540173515
2008,35,"casado","blanca","Master Universitario","Servicios","buena","si",504336227802113,154990260276812
2009,46,"casado","blanca","Bachillerato","Industrial","buena","si",465321251377534,104921506533664
2008,58,"casado","blanca","Graduado Universitario","Industrial","muy buena","si",429207877211666,73118306923864
2003,39,"casado","blanca","Master Universitario","Industrial","muy buena","si",481291335664286,123089699847943
2008,41,"casado","blanca","Graduado Universitario","Servicios","muy buena","si",506069784035361,157700527725737
2008,29,"casado","negra","Graduado Universitario","Servicios","muy buena","si",439794000867204,812832532842527
2009,37,"casado","blanca","Graduado Universitario","Servicios","buena","si",467521907955274,107256062128429
2009,62,"casado","blanca","Bachillerato","Servicios","buena","no",436921585741014,789816745162994
2008,27,"soltero","negra","Bachillerato","Industrial","muy buena","si",430102999566398,737757432746946
2003,37,"casado","blanca","Bachillerato","Industrial","buena","si",454406804435028,940727147457005
2006,56,"separado","asiatica","Graduado Universitario","Servicios","buena","no",460205999132796,996894636984864
2004,36,"casado","blanca","Algun Curso Universidad","Servicios","muy buena","si",517609125905568,176989650489877
2005,23,"soltero","otra","Bachillerato","Servicios","muy buena","no",430102999566398,737757432746946
2003,46,"casado","blanca","Algun Curso Universidad","Servicios","muy buena","si",460205999132796,996894636984864
2009,26,"soltero","blanca","Algun Curso Universidad","Industrial","muy buena","no",454406804435028,940727147457005
2006,43,"casado","blanca","No tiene bachillerato","Servicios","muy buena","si",455630250076729,952307125669819
2007,36,"casado","blanca","Bachillerato","Servicios","muy buena","si",484509804001426,127115743812184
2003,54,"separado","blanca","Algun Curso Universidad","Servicios","buena","si",460205999132796,996894636984864
2003,62,"casado","blanca","Bachillerato","Industrial","muy buena","si",456110138364906,956888119067371
2006,40,"casado","blanca","Bachillerato","Industrial","muy buena","si",469897000433602,109833985642199
2006,53,"casado","blanca","Algun Curso Universidad","Industrial","muy buena","si",477815125038364,118884359339886
2007,48,"casado","blanca","Master Universitario","Servicios","muy buena","si",517609125905568,176989650489877
2004,23,"casado","blanca","Graduado Universitario","Industrial","muy buena","no",411394335230684,611875264339915
2009,34,"casado","blanca","Bachillerato","Industrial","muy buena","si",439794000867204,812832532842527
2004,43,"casado","blanca","Graduado Universitario","Servicios","muy buena","no",55467412584381,256400649562425
2006,55,"casado","blanca","Bachillerato","Servicios","buena","si",439794000867204,812832532842527
2007,59,"soltero","blanca","Bachillerato","Servicios","muy buena","si",439794000867204,812832532842527
2007,60,"casado","blanca","Bachillerato","Servicios","muy buena","no",402118929906994,557673905084923
2009,49,"soltero","blanca","Bachillerato","Industrial","muy buena","si",432221929473392,753556793180091
2006,45,"casado","asiatica","Algun Curso Universidad","Industrial","muy buena","si",48750612633917,130982177377461
2006,31,"divorciado","blanca","Bachillerato","Industrial","muy buena","no",377815125038364,437351116779821
2004,34,"soltero","blanca","Graduado Universitario","Servicios","buena","si",474036268949424,114475713290347
2005,26,"soltero","blanca","Master Universitario","Servicios","muy buena","si",474036268949424,114475713290347
2007,22,"soltero","blanca","Bachillerato","Industrial","muy buena","no",439794000867204,812832532842527
2004,40,"casado","blanca","Bachillerato","Servicios","buena","no",422788670461367,685721657022738
2009,41,"casado","blanca","Algun Curso Universidad","Servicios","muy buena","si",469897000433602,109833985642199
2006,36,"soltero","negra","Algun Curso Universidad","Industrial","muy buena","si",457978359661681,974932940453934
2007,38,"casado","blanca","No tiene bachillerato","Industrial","muy buena","no",413353890837022,623983547205685
2003,48,"casado","blanca","Bachillerato","Industrial","muy buena","no",457978359661681,974932940453934
2006,47,"casado","blanca","Algun Curso Universidad","Servicios","muy buena","si",490308998699194,134705375118879
2005,47,"separado","blanca","No tiene bachillerato","Industrial","buena","no",411394335230684,611875264339915
2007,35,"casado","blanca","Graduado Universitario","Servicios","buena","no",477815125038364,118884359339886
2008,49,"casado","asiatica","Bachillerato","Servicios","muy buena","si",417609125905568,651108537153447
2004,40,"casado","blanca","Algun Curso Universidad","Servicios","muy buena","si",469897000433602,109833985642199
2004,32,"viudo","asiatica","Graduado Universitario","Industrial","muy buena","no",465321251377534,104921506533664
2008,57,"casado","blanca","Graduado Universitario","Industrial","muy buena","si",430102999566398,737757432746946
2008,56,"casado","blanca","Graduado Universitario","Industrial","muy buena","si",495424250943933,14177517233318
2009,73,"casado","blanca","No tiene bachillerato","Industrial","buena","no",450514997831991,904819133566401
2007,29,"soltero","blanca","Bachillerato","Industrial","buena","si",430102999566398,737757432746946
2003,49,"casado","asiatica","Master Universitario","Industrial","muy buena","si",490308998699194,134705375118879
2009,30,"soltero","blanca","Bachillerato","Industrial","muy buena","si",469897000433602,109833985642199
2008,29,"casado","blanca","Bachillerato","Industrial","muy buena","si",451851393987789,916992261117042
2004,36,"casado","blanca","Algun Curso Universidad","Servicios","muy buena","no",455630250076729,952307125669819
2009,39,"casado","blanca","Master Universitario","Servicios","muy buena","si",505307844348342,156503510882633
2007,48,"casado","blanca","Graduado Universitario","Servicios","muy buena","si",465321251377534,104921506533664
2006,45,"casado","negra","Graduado Universitario","Industrial","muy buena","si",460205999132796,996894636984864
2004,50,"casado","blanca","Graduado Universitario","Industrial","buena","no",4,545981500331442
2003,42,"casado","blanca","Graduado Universitario","Servicios","muy buena","si",347712125471966,323664131748549
2007,58,"casado","blanca","Algun Curso Universidad","Industrial","buena","no",477815125038364,118884359339886
2007,48,"casado","blanca","Bachillerato","Industrial","muy buena","si",469897000433602,109833985642199
2003,48,"casado","blanca","Graduado Universitario","Industrial","muy buena","si",469897000433602,109833985642199
2005,45,"casado","blanca","Algun Curso Universidad","Servicios","muy buena","si",477815125038364,118884359339886
2007,41,"divorciado","blanca","Algun Curso Universidad","Industrial","muy buena","si",470757017609794,110782650276254
2008,27,"soltero","blanca","Bachillerato","Industrial","muy buena","si",453857373380686,935572673479306
2004,44,"casado","blanca","Bachillerato","Servicios","muy buena","si",469897000433602,109833985642199
2003,32,"casado","blanca","Graduado Universitario","Servicios","muy buena","si",477815125038364,118884359339886
2006,46,"casado","blanca","No tiene bachillerato","Servicios","muy buena","si",477815125038364,118884359339886
2005,52,"casado","negra","Bachillerato","Servicios","buena","no",395424250943932,521561711699147
2003,22,"soltero","blanca","Algun Curso Universidad","Industrial","muy buena","no",377815125038364,437351116779821
2004,53,"viudo","blanca","Bachillerato","Industrial","muy buena","si",476342799356294,117146816914805
2008,34,"casado","blanca","Master Universitario","Industrial","buena","si",477815125038364,118884359339886
2009,38,"casado","blanca","Bachillerato","Industrial","muy buena","si",5,148413159102577
2009,42,"casado","blanca","No tiene bachillerato","Servicios","muy buena","si",46232492903979,10182435207568
2005,25,"soltero","negra","Algun Curso Universidad","Servicios","muy buena","si",454406804435028,940727147457005
2004,29,"soltero","blanca","Algun Curso Universidad","Industrial","muy buena","si",446239799789896,866951548289402
2005,28,"casado","blanca","Master Universitario","Servicios","muy buena","si",495424250943933,14177517233318
2005,46,"casado","blanca","Graduado Universitario","Industrial","muy buena","si",420411998265593,669616443217359
2007,55,"casado","negra","Master Universitario","Servicios","muy buena","si",477815125038364,118884359339886
2004,56,"casado","blanca","Bachillerato","Industrial","buena","no",466124460895933,105767639622758
2005,41,"divorciado","negra","Bachillerato","Servicios","buena","si",477815125038364,118884359339886
2009,61,"casado","blanca","Master Universitario","Servicios","muy buena","no",517609125905568,176989650489877
2003,47,"casado","blanca","Bachillerato","Servicios","muy buena","si",417609125905568,651108537153447
2006,52,"casado","blanca","Algun Curso Universidad","Industrial","muy buena","si",444715803134222,853839403789827
2004,27,"casado","blanca","Bachillerato","Industrial","muy buena","no",427875360095283,721504556815713
2007,33,"soltero","negra","Algun Curso Universidad","Servicios","muy buena","si",449136169383427,892428846644714
2003,58,"soltero","blanca","Bachillerato","Servicios","buena","si",417609125905568,651108537153447
2005,27,"casado","blanca","Graduado Universitario","Industrial","muy buena","si",498227123303957,145805163374625
2009,52,"separado","negra","Bachillerato","Industrial","muy buena","si",447712125471966,879810327856054
2003,45,"casado","blanca","Master Universitario","Industrial","muy buena","no",37160033436348,410998036301194
2003,22,"soltero","blanca","Bachillerato","Servicios","muy buena","si",422530928172586,683956538035455
2005,25,"soltero","blanca","Algun Curso Universidad","Industrial","buena","si",439794000867204,812832532842527
2004,25,"soltero","blanca","Bachillerato","Industrial","muy buena","si",430102999566398,737757432746946
2005,41,"casado","negra","No tiene bachillerato","Industrial","muy buena","si",48750612633917,130982177377461
2006,54,"separado","blanca","Graduado Universitario","Industrial","muy buena","si",5,148413159102577
2007,23,"casado","blanca","Bachillerato","Industrial","muy buena","si",439724458101039,81226746312023
